Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2dLLR6qlu5UJ5gk0dKz0h3,"163tK9Wjr9P9DmM0AVK7lm","Royals","Pure Heroine","Lorde",2013-09-27,190185,80,spotify:user:,2020-06-12T06:35:58Z,"art pop,electropop,metropopolis,nz pop,pop",0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,4
5PUvinSo4MNqW7vmomGRS7,"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8","Blurred Lines","Blurred Lines","Robin Thicke,T.I.,Pharrell Williams",2013-01-01,263053,58,spotify:user:,2020-06-12T06:35:58Z,"contemporary r&b,dance pop,hip pop,neo soul,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.861,0.504,7,-7.707,1,0.0489,0.00412,0.0000178,0.0783,0.881,120,4
62yJjFtgkhUrXktIoSjgP2,"53XhwfbYqKCa1cC15pYq2q","Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,79,spotify:user:,2020-06-12T06:35:58Z,"modern rock,rock",0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,4
4h8VwCb1MTGoLKueQ1WgbD,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up","True","Avicii",2013-09-13,247426,8,spotify:user:,2020-06-12T06:35:58Z,"dance pop,edm,pop,pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
3w3y8KPTfNeOKPiqUTakBh,"0du5cEVh5yTK9QJze8zA0C","Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,88,spotify:user:,2020-06-12T06:35:58Z,"dance pop,pop",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
3AYcyxEACnmE6d96RPubID,"5BcAKTbp20cv7tC5VqPFoC,56xTxG4nQMAs1GW9kvn0uA","Thrift Shop (feat. Wanz)","The Heist (Deluxe Edition)","Macklemore & Ryan Lewis,Wanz",2012-10-09,235613,2,spotify:user:,2020-06-12T06:35:58Z,"dance pop,pop,pop rap,seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
2Foc5Q5nqNiosCNqttzHof,"4tZwfgrHOc3mvqYlEYSvVi,2RdwBSPQiwcmiDo9kixcl8,3yDIp0kaq9EFKe07X1X2rz","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]","Daft Punk,Pharrell Williams,Nile Rodgers",2013-04-19,248413,81,spotify:user:,2020-06-12T06:35:58Z,"electro,filter house,pop rap,disco",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
086myS9r57YsLbJpU0TgK9,"7Ln80lUS6He07XvHI8qqHH","Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,87,spotify:user:,2020-06-12T06:35:58Z,"garage rock,permanent wave,rock,sheffield indie",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
1yHqQ7ABCM4GbsprRs8NGO,"73sIBHcqh3Z3NyqHKZ7FOL","3005","3005","Childish Gambino",2013-11-03,235662,0,spotify:user:,2020-06-12T06:35:58Z,"atl hip hop,hip hop,pop,rap",0.681,0.463,6,-6.542,0,0.289,0.128,0,0.0769,0.661,82.92,4
2QjOHCTQ1Jl3zawyYOpxh6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240400,92,spotify:user:,2020-06-12T06:35:58Z,"modern alternative rock,modern rock,pop",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
1yjY7rpaAQvKwpdUliHx0d,"74XFHRwlV6OrjEM0A2NCMF","Still into You","Paramore","Paramore",2013-04-05,216013,83,spotify:user:,2020-06-12T06:35:58Z,"candy pop,pixie,pop emo,pop punk",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
