Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0TlLq3lA83rQOYtrqBqSct,"3TVXtAsR1Inumwj472S9r4","Nonstop","Scorpion","Drake",2018-06-29,238614,79,spotify:user:,2018-12-04T05:02:00Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,4
7AQim7LbvFVZJE3O8TYgf2,"15UsOTVnJzReFVN1VCnxy4,6Xgp2XMz1fhVYe7i6yNAax","Fuck Love (feat. Trippie Redd)","17","XXXTENTACION,Trippie Redd",2017-08-25,146520,85,spotify:user:,2018-12-04T05:02:00Z,"emo rap,miami hip hop,melodic rap,rap,trap",0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4
2QZ7WLBE8h2y1Y5Fb8RYbH,"7n2wHs1TKAczGzO7Dd2rGr","In My Blood","Shawn Mendes","Shawn Mendes",2018-05-25,211360,78,spotify:user:,2018-12-04T05:02:00Z,"canadian pop,dance pop,pop,viral pop",0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,4
7vGuf3Y35N4wmASOKLUVVU,"64KEffDW9EtZ1y2vBYgq8T,6LuN9FCkKOj5PcnpouEgny","Silence","Silence","Marshmello,Khalid",2017-08-11,180822,82,spotify:user:,2018-12-04T05:02:00Z,"brostep,dance pop,edm,pop,pop dance,progressive electro house,pop r&b",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4
5OCJzvD7sykQEKHH7qAC3C,"66CXWjxzNUsdJxJ2JdwvnR","God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,81,spotify:user:,2018-12-04T05:02:00Z,"dance pop,pop",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
1j6xOGusnyXq3l6IryKF3G,"4bw2Am3p9ji3mYsXNXtQcd,0tmwSHipWxN12fsoLcFU3B","Déjala Que Vuelva (feat. Manuel Turizo)","Ubuntu","Piso 21,Manuel Turizo",2018-05-11,220116,73,spotify:user:,2018-12-04T05:02:00Z,"colombian pop,latin,latin pop,reggaeton,reggaeton colombiano,trap latino",0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,4
66BjcDhhwWCcQIBxHMpKXh,"1Cs0zKBU1kc0i8ypK3B9ai,5WUlDfRSoLAfcVSX1WnrxN","Flames","7","David Guetta,Sia",2018-09-14,194680,63,spotify:user:,2018-12-04T05:02:00Z,"big room,dance pop,edm,pop,pop dance,pop rap,australian dance,australian pop",0.631,0.649,5,-5.892,0,0.0385,0.0817,0.0000038,0.0934,0.421,93.95,4
0WdGQhoAP2LBsqr5Jhit2g,"04gDigrS5kc9YWfZHwBETP,7tYKF4w9nC0nq9CsPZTHyP","What Lovers Do","Red Pill Blues (Deluxe)","Maroon 5,SZA",2017-11-03,199849,35,spotify:user:,2018-12-04T05:02:00Z,"pop,pop rock,r&b,rap",0.799,0.597,5,-5.131,0,0.0611,0.0788,0.00000566,0.1,0.419,110.001,4
4w8niZpiMy6qz1mntFA5uM,"540vIaP2JwjQb9dm3aArA4,0C8ZW7ezQVs4URX5aX7Kqx,1i8SpTcr7yvPOmcqrbnVXY,4kYSro6naA4h99UJvo89HB","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake,Selena Gomez,Ozuna,Cardi B",2018-09-28,212500,78,spotify:user:,2018-12-04T05:02:00Z,"dance pop,edm,electronic trap,pop,pop dance,pop rap,post-teen pop,latin,puerto rican pop,reggaeton,trap latino,rap",0.842,0.801,8,-4.167,0,0.228,0.157,0.00000482,0.0642,0.617,95.881,4
5Gu0PDLN4YJeW75PpBSg9p,"5p7f24Rk5HkUZsaS3BLG5F,4AVFqumd2ogHFlRbKIjp1t,3b8QkneNDz4JHKKKlLgYZg,4olE3I5QU0dvSR7LIpqTXc","Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",2017-09-08,174800,80,spotify:user:,2018-12-04T05:02:00Z,"dance pop,pop,post-teen pop,edm,electro house,pop dance,progressive electro house,tropical house,contemporary country,country,country pop,country road,modern country rock,modern alternative rock",0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,4
