Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
32OlwWuMpZ6b0aN2RZOeMS,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,84,spotify:user:,2020-06-20T06:19:41Z,"dance pop,pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
34gCuhDGsG4bRPIf9bb02f,"6eUKZXaKkcviH0Ku9w2n3V","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,85,spotify:user:,2020-06-20T06:19:41Z,"pop,uk pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
2JzZzZUQj3Qff7wapcbKjc,"137W8MRPWKqSmrBGDBFSop,6VuMaDnrHyPL1p4EHjYLi7","See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",2015,229525,83,spotify:user:,2020-06-20T06:19:41Z,"dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
4B0JvthVoAAuygILe3n4Bs,"1uNFoZAHBGtllmzznpCI3s","What Do You Mean?","Purpose (Deluxe)","Justin Bieber",2015-11-13,205680,80,spotify:user:,2020-06-20T06:19:41Z,"canadian pop,pop",0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,4
2YWjW3wwQIBLNhxWKBQd16,"738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4","Lean On (feat. MØ & DJ Snake)","Peace Is The Mission : Extended","Major Lazer,MØ,DJ Snake",2015-11-27,176561,77,spotify:user:,2020-06-20T06:19:41Z,"dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,tropical house,art pop,danish pop,electropop,electronic trap",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
2PIvq1pGrUjY007X5y1UpM,"1Xyo4u8uXC1ZmMpatF05PJ","Earned It (Fifty Shades Of Grey) - From The Fifty Shades Of Grey Soundtrack","Earned It (Fifty Shades Of Grey) [From The Fifty Shades Of Grey Soundtrack]","The Weeknd",2014-12-23,252226,79,spotify:user:,2020-06-20T06:19:41Z,"canadian contemporary r&b,canadian pop,pop",0.659,0.381,2,-5.922,0,0.0304,0.385,0,0.0972,0.426,119.844,3
3zHq9ouUJQFQRf3cm1rRLu,"0X2BH1fck6amBIoJhDVmmJ","Love Me Like You Do - From Fifty Shades Of Grey","Delirium (Deluxe)","Ellie Goulding",2015-11-06,252534,82,spotify:user:,2020-06-20T06:19:41Z,"dance pop,edm,electropop,indietronica,metropopolis,pop,uk pop",0.262,0.606,8,-6.646,1,0.0484,0.247,0,0.125,0.275,189.857,4
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,86,spotify:user:,2020-06-20T06:19:41Z,"australian psych,neo-psychedelic",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
7g3htkaLz4ETFn0cifwM3y,"00FQb4jTyendYWaN8pK0wa","High By The Beach","Honeymoon","Lana Del Rey",2015-09-18,257573,70,spotify:user:,2021-08-10T04:26:14Z,"art pop,pop",0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,4
2tnUFMh3wQk6LHhECsDDlV,"1KP6TWI40m7p3QBTU6u2xo","Electric Love","Electric Love","BØRNS",2015-08-19,218173,0,spotify:user:,2020-06-20T06:19:41Z,"modern rock,pop",0.373,0.858,6,-6.536,0,0.0889,0.00407,0.0016,0.256,0.605,120.063,4
1u8c2t2Cy7UBoG4ArRcF5g,"06HL4z0CvFAxyc27GXpf02","Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,85,spotify:user:,2020-06-20T06:19:41Z,"pop",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
6TaqooOXAEcijL6G1AWS2K,"2FwJwEswyIUAljqgjNSHgP,0NIIxcxNHmOoyBx03SfTCD,1anyVhU62p31KFi8MEzkbf","All My Friends (feat. Tinashe & Chance the Rapper)","All My Friends (feat. Tinashe & Chance the Rapper)","Snakehips,Tinashe,Chance the Rapper",2015-10-21,229746,75,spotify:user:,2020-06-22T07:46:01Z,"edm,electropop,pop,pop dance,tropical house,alternative r&b,dance pop,hip pop,metropopolis,pop r&b,pop rap,post-teen pop,r&b,urban contemporary,chicago rap,conscious hip hop,hip hop,rap",0.681,0.521,0,-5.849,1,0.141,0.12,0.0000841,0.108,0.181,94.997,4
3pXF1nA74528Edde4of9CC,"2EMAnMvWE2eb56ToJVfCWs","Don't","T R A P S O U L","Bryson Tiller",2015-10-02,198293,82,spotify:user:,2020-06-20T06:19:41Z,"kentucky hip hop,pop,pop rap,r&b,rap",0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,4
0PJIbOdMs3bd5AT8liULMQ,"3KV3p5EY4AvKxOlhGHORLg","oui","Late Nights: The Album","Jeremih",2015-12-04,238320,81,spotify:user:,2020-06-20T06:19:41Z,"chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary",0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,5
1vffte5WTHIik37ePfJdo4,"2YZyLoL8N0Wb9xBt1NhZWg","King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,0,spotify:user:,2020-06-20T06:19:41Z,"conscious hip hop,hip hop,rap,west coast rap",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
1wHZx0LgzFHyeIZkUydNXq,"0Y5tJX1MQlPlqiwlOH1tJY","Antidote","Rodeo (Expanded Edition)","Travis Scott",2015-09-04,262693,76,spotify:user:,2020-06-20T06:19:41Z,"rap,slap house",0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,4
7fBv7CLKzipRk6EC6TWHOB,"1Xyo4u8uXC1ZmMpatF05PJ","The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,87,spotify:user:,2020-06-20T06:19:41Z,"canadian contemporary r&b,canadian pop,pop",0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
1KK0j3djUgx5tuOMwesdAT,"6S2OmqARrzebs0tKUEyXyp","Cool for the Summer","Cool for the Summer","Demi Lovato",2015-07-01,214746,0,spotify:user:,2020-06-20T06:19:41Z,"dance pop,pop,post-teen pop",0.586,0.613,5,-5.593,0,0.0386,0.00441,0.000183,0.0853,0.319,114.101,4
0ug5NqcwcFR2xrfTkc7k8e,"06HL4z0CvFAxyc27GXpf02","Style","1989 (Deluxe)","Taylor Swift",2014-01-01,231000,80,spotify:user:,2020-06-20T06:19:41Z,"pop",0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4
7cgu4JBW3hq1GwTM1ilkKQ,"4NHQUGzhtTLFvgF5SZesLK","Talking Body","Queen Of The Clouds","Tove Lo",2014-09-24,238426,70,spotify:user:,2020-06-20T06:19:41Z,"art pop,dance pop,electropop,metropopolis,pop,post-teen pop,swedish electropop,swedish pop,swedish synthpop",0.736,0.761,4,-5.449,0,0.0338,0.0966,0,0.0823,0.114,119.999,4
57kR5SniQIbsbVoIjjOUDa,"540vIaP2JwjQb9dm3aArA4,2VAnyOxzJuSAj7XIuEOT38","You Know You Like It","You Know You Like It","DJ Snake,AlunaGeorge",2014-10-14,247266,73,spotify:user:,2020-06-20T06:19:41Z,"dance pop,edm,electronic trap,pop,pop dance,pop rap,electropop,house,tropical house",0.407,0.725,5,-5.346,0,0.188,0.0141,0.00000246,0.306,0.247,196.093,4
2kJqNHHGOzLNahukdvlDWN,"5cIc3SBFuBLVxJz58W2tU9","Drive","Oh Wonder","Oh Wonder",2015-09-04,196465,64,spotify:user:,2021-08-10T04:26:14Z,"electropop,indie poptimism,pop,pop rock",0.657,0.456,9,-8.351,1,0.0961,0.705,0.00000884,0.084,0.381,141.735,4
4scpF6J5uMBvoh6sFB7EL1,"7iZtZyCzp3LItcw1wtPI3D","No Type","SremmLife","Rae Sremmurd",2015-01-06,200080,75,spotify:user:,2020-06-20T06:19:41Z,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap",0.891,0.486,6,-7.803,1,0.159,0.0158,0.00000378,0.0925,0.239,125.01,4
7MmG8p0F9N3C4AXdK6o6Eb,"7CajNmpbOovFoOoasH2HaY,0X2BH1fck6amBIoJhDVmmJ","Outside (feat. Ellie Goulding)","Motion","Calvin Harris,Ellie Goulding",2014-10-31,227266,80,spotify:user:,2020-06-20T06:19:41Z,"dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance,electropop,indietronica,metropopolis,uk pop",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
