Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7nPTjuVySLIUlgKrzTIFdb,"2KbikmQKGiUPR2ARs1h0sq","Vai Amor","Kiko","Gilli",2019-07-13,166353,51,spotify:user:,2019-12-03T07:08:09Z,"danish hip hop,danish pop",0.89,0.662,0,-5.462,1,0.199,0.0418,0.0258,0.0594,0.837,129.988,4
6QfS2wq5sSC1xAJCQsTSlj,"1HY2Jd0NmPuamShAr6KMms,4VIvfOurcf0vuLRxLkGnIG","Shallow - Radio Edit","A Star Is Born Soundtrack (Without Dialogue)","Lady Gaga,Bradley Cooper",2018-10-05,217212,76,spotify:user:,2019-12-03T07:08:09Z,"art pop,dance pop,pop,hollywood",0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.277,95.801,4
1NgeW6kFhdqAvEKgKYhf1s,"5SwsSD9zyWaWeVyK9qIW9l,0Nj6EN5mur7EJHl0aZuGP7","Paris","Paris","Lord Siva,Vera",2019-02-22,170644,52,spotify:user:,2019-12-03T07:08:09Z,"danish hip hop,danish pop,danish electropop",0.818,0.533,6,-6.05,0,0.0428,0.151,0.00000666,0.133,0.774,114.97,4
5ZULALImTm80tzUbYQYM9d,"2NjfBq1NflQcKSeiDooVjY","Dance Monkey","The Kids Are Coming","Tones And I",2019-08-29,209438,76,spotify:user:,2019-12-03T07:08:09Z,"australian pop,pop",0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
7qEHsqek33rTcFNT9PFqLf,"4GNC7GD6oZMSxPGyXy4MNB","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,88,spotify:user:,2019-12-03T07:08:09Z,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
2Fxmhks0bxGSBdJ92vM42m,"6qqNVTkY8uBg9cP3Jd7DAH","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,86,spotify:user:,2019-12-03T07:08:09Z,"art pop,electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
0TK2YIli7K1leLovkQiNik,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Señorita","Shawn Mendes,Camila Cabello",2019-06-21,190960,83,spotify:user:,2019-12-03T07:08:09Z,"canadian pop,dance pop,pop,viral pop,post-teen pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
3HVWdVOQ0ZA45FuZGSfvns,"6eUKZXaKkcviH0Ku9w2n3V,1uNFoZAHBGtllmzznpCI3s","I Don't Care (with Justin Bieber)","I Don't Care (with Justin Bieber)","Ed Sheeran,Justin Bieber",2019-05-10,219946,81,spotify:user:,2019-12-03T07:08:09Z,"pop,uk pop,canadian pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
7xQAfvXzm3AkraOtGPWIZg,"246dkjvS1zLTtiykXe5h60","Wow.","Hollywood's Bleeding","Post Malone",2019-09-06,149546,82,spotify:user:,2019-12-03T07:08:09Z,"dfw rap,melodic rap,rap",0.829,0.539,11,-7.359,0,0.208,0.136,0.00000178,0.103,0.388,99.96,4
6bh20cEbXMNJ5JPUvbGSYq,"74HomvqoUecDcUPRespyqg","Gonzo","Gonzo","Suspekt",2019-05-24,172500,0,spotify:user:,2019-12-03T07:08:09Z,"danish hip hop,danish pop",0.75,0.557,1,-8.407,1,0.262,0.0299,0.0000515,0.173,0.322,99.977,4
25sgk305KZfyuqVBQIahim,"4npEfmQ6YuiwW1GpUmaq3F","Sweet but Psycho","Sweet but Psycho","Ava Max",2018-08-17,187436,10,spotify:user:,2019-12-03T07:08:09Z,"dance pop,pop",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
1hwYGaUz6V4odyt0u0QlKf,"2toxhc2iSbFHWgy3VMnqR7,13y7CgLHjMVRMDqxdx0Xdo","En Sang (feat. Gucci Mane)","En Sang (feat. Gucci Mane)","Emil Stabil,Gucci Mane",2019-06-28,148241,50,spotify:user:,2019-12-03T07:08:09Z,"danish hip hop,danish pop,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.874,0.573,2,-4.768,0,0.0816,0.00378,0,0.0612,0.46,94.989,4
0RiRZpuVRbi7oqRdSMwhQY,"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX","Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone,Swae Lee",2019-09-06,157560,82,spotify:user:,2019-12-03T07:08:09Z,"dfw rap,melodic rap,rap,trap",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
2YpeDb67231RjR0MgVLzsG,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road - Remix","7 EP","Lil Nas X,Billy Ray Cyrus",2019-06-21,157066,81,spotify:user:,2019-12-03T07:08:09Z,"lgbtq+ hip hop,pop,country,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
