Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
60nZcImufyMA1MKQY3dcCH,"2RdwBSPQiwcmiDo9kixcl8","Happy - From Despicable Me 2","G I R L","Pharrell Williams",2014-03-03,232720,82,spotify:user:,2020-06-10T08:53:10Z,"pop rap",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
4jbmgIyjGoXjY01XxatOx6,"6jJ0s89eD6GaHleKKya26X,5gCRApTajqwbnHHPbr2Fpi","Dark Horse","PRISM","Katy Perry,Juicy J",2013-01-01,215672,77,spotify:user:,2020-06-10T08:53:10Z,"dance pop,pop,post-teen pop,crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap",0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,4
311fWdp7RrvN4Fuz7sv6Ea,"5IcR3N7QB1j6KBL8eImZ8m,2YZyLoL8N0Wb9xBt1NhZWg","Collard Greens","Oxymoron (Deluxe)","ScHoolboy Q,Kendrick Lamar",2014-01-01,299960,0,spotify:user:,2020-06-10T08:53:10Z,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,conscious hip hop,west coast rap",0.826,0.571,11,-4.871,1,0.064,0.0239,0.00000738,0.207,0.666,153.972,4
3W3KtDwAIg3mAruSpnfG3Q,"5yG7ZAZafVaAlMTeBybKAL,25uiPmTg16RbhZWAqwLBy5","Fancy","The New Classic (Deluxe Version)","Iggy Azalea,Charli XCX",2014-01-01,199938,73,spotify:user:,2020-06-10T08:53:10Z,"australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop,art pop,candy pop,electropop,metropopolis,uk pop",0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,4
1fo2ctLqj3zBhRQKOXprol,"06HL4z0CvFAxyc27GXpf02","Style","1989 (Deluxe Edition)","Taylor Swift",2014-10-27,231000,65,spotify:user:,2020-06-10T08:53:10Z,"pop",0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4
5Nm9ERjJZ5oyfXZTECKmRt,"2wY79sveU1sp5g7SokKOiI","Stay With Me","In The Lonely Hour","Sam Smith",2014-05-26,172723,83,spotify:user:,2020-06-10T08:53:10Z,"dance pop,pop,uk pop",0.418,0.42,0,-6.444,1,0.0414,0.588,0.0000639,0.11,0.184,84.094,4
6RtPijgfPKROxEzTHNRiDp,"0DxeaLnv6SyYk2DOqkLO8c","Rude","Don't Kill the Magic","MAGIC!",2014-06-25,224840,82,spotify:user:,2020-06-10T08:53:10Z,"reggae fusion",0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,4
4VrWlk8IQxevMvERoX08iC,"5WUlDfRSoLAfcVSX1WnrxN","Chandelier","1000 Forms Of Fear","Sia",2014-07-04,216120,81,spotify:user:,2020-06-10T08:53:10Z,"australian dance,australian pop,pop",0.399,0.787,1,-2.88,1,0.0499,0.0197,0.0000607,0.0685,0.572,117.089,5
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,87,spotify:user:,2020-06-10T08:53:10Z,"neo mellow,neo soul,pop,pop soul,r&b,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
1j8z4TTjJ1YOdoFEDwJTQa,"74XFHRwlV6OrjEM0A2NCMF","Ain't It Fun","Paramore","Paramore",2013-04-05,296520,76,spotify:user:,2020-06-10T08:53:10Z,"candy pop,pixie,pop emo,pop punk",0.61,0.893,9,-3.681,1,0.0921,0.154,0.0000441,0.021,0.673,104.031,4
