Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0U10zFw4GlBacOy9VDGfGL,"5pKCCKE2ajJHZ9KAiaK11H,7CajNmpbOovFoOoasH2HaY","We Found Love","Talk That Talk","Rihanna,Calvin Harris",2011-11-19,215226,76,spotify:user:,2020-06-22T07:55:42Z,"barbadian pop,dance pop,pop,pop rap,urban contemporary,edm,electro house,house,pop dance,progressive house,uk dance",0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,4
20I6sIOMTCkB6w7ryavxtO,"6sFIWsNpZYqfjUpaCgueju","Call Me Maybe","Kiss","Carly Rae Jepsen",2012-01-01,193400,81,spotify:user:,2020-06-22T07:55:42Z,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop",0.783,0.58,7,-6.548,1,0.0408,0.0114,0.00000228,0.108,0.66,120.021,4
5rgy6ghBq1eRApCkeUdJXf,"5nCi3BB41mBaMH9gfr6Su0,6ueGR6SWhUJfvEhqkvMsVs","We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-14,250626,78,spotify:user:,2020-06-22T07:55:42Z,"baroque pop,metropopolis,modern rock,pop rock,rock,afrofuturism,alternative r&b,art pop,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b,urban contemporary",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
2RtNSM8cPCAOZ5bvQbW6y3,"053q0ukIDRgzwTr4vNSwab","Oblivion","Visions","Grimes",2012-03-12,251266,0,spotify:user:,2020-06-22T07:55:42Z,"art pop,canadian electropop,dance pop,electropop,grave wave,indietronica,metropopolis,pop",0.697,0.529,2,-8.838,1,0.0338,0.115,0.901,0.0895,0.486,155.974,4
4sOX1nhpKwFWPvoMMExi3q,"6CwfuxIqcltXDGjfZsMd9A","Primadonna","Electra Heart (Deluxe)","MARINA",2012-04-30,221075,75,spotify:user:,2020-06-22T07:55:42Z,"art pop,dance pop,electropop,metropopolis,pop,uk alternative pop",0.66,0.689,4,-2.671,0,0.0337,0.0884,0,0.0922,0.427,127.98,4
4L7jMAP8UcIe309yQmkdcO,"2h93pZq0e7k5yf4dywlkpM","Lost","channel ORANGE (Explicit Version)","Frank Ocean",2012-07-10,234093,83,spotify:user:,2020-06-22T07:55:42Z,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop",0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,4
40wUM3LFZOlUcZfxEIZrYK,"2YZyLoL8N0Wb9xBt1NhZWg","Swimming Pools (Drank) - Extended Version","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012-10-22,313786,66,spotify:user:,2020-06-22T07:55:42Z,"conscious hip hop,hip hop,rap,west coast rap",0.716,0.485,1,-7.745,1,0.404,0.123,0.0000269,0.604,0.26,74.132,4
3n69hLUdIsSa1WlRmjMZlW,"3XHO7cRUPCLOr6jwp8vsx5","Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,74,spotify:user:,2020-06-22T07:55:42Z,"indie rock,modern rock",0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,4
6no1mklq4BJBg7KJ6Dly7N,"7gRhy3MIPHQo5CXYfWaw9I,4vUAD0POkGvO6J9c9hv6qR","212","Broke with Expensive Taste","Azealia Banks,Lazy Jay",2014-11-07,204956,1,spotify:user:,2020-06-22T07:55:42Z,"dance pop,escape room,hip house,lgbtq+ hip hop,pop,trap queen,belgian edm",0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017,4
0AfYeE3bfJRcq9J2hUJXmM,"6CwfuxIqcltXDGjfZsMd9A","How to Be a Heartbreaker","How to Be a Heartbreaker","MARINA",2012-09-26,221493,54,spotify:user:,2020-06-22T07:55:42Z,"art pop,dance pop,electropop,metropopolis,pop,uk alternative pop",0.69,0.897,11,-4.696,0,0.0506,0.0142,0,0.108,0.849,140.05,4
